majority_margin,total,passed,failed,passage_rate_pct
0,628,435,193,69.26751592356688
1,655,376,279,57.404580152671755
2,945,741,204,78.41269841269842
3,1357,966,391,71.1864406779661
5,1077,723,354,67.1309192200557
7,1509,1118,391,74.08880053015243
8,708,646,62,91.24293785310734
9,2211,1538,673,69.56128448665763
10,3027,1942,1085,64.15592996366038
11,1495,1109,386,74.18060200668897
12,1923,1359,564,70.67082683307332
14,1527,1096,431,71.77472167648985
19,1165,753,412,64.63519313304721
22,688,407,281,59.15697674418605
23,1217,841,376,69.10435497124075
28,1320,764,556,57.878787878787875
33,2160,1579,581,73.10185185185185
36,1201,752,449,62.614487926727726
39,1864,1349,515,72.37124463519314
45,1601,847,754,52.90443472829482
50,1206,886,320,73.46600331674958
61,1320,818,502,61.969696969696976
85,511,366,145,71.62426614481409
86,2739,2071,668,75.61153705732019
100,900,625,275,69.44444444444444
