label,total,passed,failed,pass_pct,fail_pct
unknown,6737,5210,1527,77.33412498144575,22.665875018554246
economics and public finance,6118,3071,3047,50.19614253023864,49.80385746976136
congress,3298,3117,181,94.51182534869618,5.488174651303822
armed forces and national security,2309,1494,815,64.70333477695972,35.29666522304028
international affairs,1601,1276,325,79.7001873828857,20.2998126171143
government operations and politics,1410,868,542,61.56028368794326,38.43971631205674
health,910,588,322,64.61538461538461,35.38461538461539
crime and law enforcement,899,655,244,72.8587319243604,27.1412680756396
taxation,866,396,470,45.72748267898383,54.27251732101617
internal organization,811,574,237,70.77681874229347,29.22318125770653
finance and financial sector,809,521,288,64.40049443757727,35.599505562422735
public lands and natural resources,764,520,244,68.06282722513089,31.93717277486911
education,671,448,223,66.76602086438153,33.23397913561847
transportation and public works,663,465,198,70.13574660633483,29.864253393665166
energy,633,329,304,51.97472353870458,48.02527646129542
judiciary,616,580,36,94.15584415584416,5.844155844155836
government organization,516,502,14,97.28682170542635,2.713178294573652
labor and employment,478,302,176,63.17991631799163,36.82008368200837
environmental protection,467,232,235,49.67880085653105,50.32119914346895
emergency management,450,289,161,64.22222222222223,35.77777777777777
agriculture and food,435,236,199,54.252873563218394,45.747126436781606
"science, technology, communications",404,279,125,69.05940594059405,30.940594059405953
commerce,365,269,96,73.6986301369863,26.301369863013704
foreign trade and international finance,327,226,101,69.1131498470948,30.886850152905197
immigration,322,200,122,62.11180124223602,37.88819875776398
law,277,138,139,49.81949458483754,50.18050541516246
water resources development,234,151,83,64.52991452991454,35.470085470085465
housing and community development,225,125,100,55.55555555555556,44.44444444444444
social welfare,198,123,75,62.121212121212125,37.878787878787875
"civil rights and liberties, minority issues",153,107,46,69.93464052287581,30.06535947712419
native americans,111,82,29,73.87387387387388,26.126126126126124
families,87,67,20,77.01149425287356,22.98850574712644
defense policy resolutions,74,71,3,95.94594594594594,4.054054054054063
sports and recreation,48,46,2,95.83333333333334,4.166666666666657
treaties,48,29,19,60.416666666666664,39.583333333333336
banking and finance,45,43,2,95.55555555555556,4.444444444444443
animals,44,37,7,84.0909090909091,15.909090909090907
foreign policy resolutions,42,40,2,95.23809523809523,4.761904761904773
"arts, culture, religion",41,29,12,70.73170731707317,29.268292682926827
civil rights/desegregation/busing/affirmative action,39,39,0,100.0,0.0
budget special interest,31,22,9,70.96774193548387,29.032258064516128
public works,23,14,9,60.86956521739131,39.13043478260869
public health,22,19,3,86.36363636363636,13.63636363636364
"children (aid, infant mortality, etc.)",16,16,0,100.0,0.0
presidential impeachment,16,7,9,43.75,56.25
domestic social policy,15,9,6,60.0,40.0
union regulation/davis bacon/situs picketing,15,14,1,93.33333333333333,6.666666666666671
constitutional amendments,14,7,7,50.0,50.0
iran,14,13,1,92.85714285714286,7.142857142857139
arms control,13,10,3,76.92307692307693,23.076923076923066
cia/spying/intelligence,12,10,2,83.33333333333334,16.666666666666657
religion,12,12,0,100.0,0.0
military pensions/veterans benefits,11,10,1,90.9090909090909,9.090909090909093
pollution and environmental protection,11,11,0,100.0,0.0
regulation special interest,11,11,0,100.0,0.0
science and technology,10,9,1,90.0,10.0
space exploration/nasa,10,10,0,100.0,0.0
u. n.,9,7,2,77.77777777777779,22.222222222222214
agriculture,8,6,2,75.0,25.0
tariffs,8,8,0,100.0,0.0
airlines/airports/airline industry,7,3,4,42.857142857142854,57.142857142857146
housing/housing programs/rent control,7,7,0,100.0,0.0
women's equality,7,7,0,100.0,0.0
narcotics,6,6,0,100.0,0.0
supreme court,6,6,0,100.0,0.0
defense policy budget,5,5,0,100.0,0.0
handicapped,5,4,1,80.0,20.0
nuclear weapons,5,4,1,80.0,20.0
parks and conservation,5,5,0,100.0,0.0
radio/television/motion pictures/telecommunications,5,5,0,100.0,0.0
human rights,4,4,0,100.0,0.0
immigration/naturalization,4,4,0,100.0,0.0
impeachment of president,4,0,4,0.0,100.0
impeachments and investigations,4,4,0,100.0,0.0
public lands,4,0,4,0.0,100.0
social sciences and history,4,4,0,100.0,0.0
unemployment/jobs,4,4,0,100.0,0.0
vietnam war,4,4,0,100.0,0.0
budget general interest,3,2,1,66.66666666666666,33.33333333333334
nuclear power,3,1,2,33.33333333333333,66.66666666666667
tax rates,3,3,0,100.0,0.0
u.s. currency,3,3,0,100.0,0.0
budget resolution,2,2,0,100.0,0.0
consumer protection agency/consumer protection,2,2,0,100.0,0.0
debt ceilings,2,2,0,100.0,0.0
firearms,2,2,0,100.0,0.0
foreign policy budget,2,0,2,0.0,100.0
public safety,2,2,0,100.0,0.0
shipping/maritime,2,2,0,100.0,0.0
social security,2,2,0,100.0,0.0
welfare,2,2,0,100.0,0.0
abortion/care of deformed newborns,1,1,0,100.0,0.0
central america,1,1,0,100.0,0.0
communists/communism/unamerican activities,1,1,0,100.0,0.0
electoral votes,1,0,1,0.0,100.0
indian affairs,1,1,0,100.0,0.0
korean war,1,1,0,100.0,0.0
minimum wage,1,1,0,100.0,0.0
slavery,1,1,0,100.0,0.0
